"ordre","code","nom","unite_apprentissage_reference","duree_en_heure","isOfficiel","lien","description","formateur_reference","reference","is_imitation_ua"
"4","T.121.114","Recevoir des données","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/recevoir-donnees/","","","DWB-T.121.114","0"
"4","T.122.114","Conteneurs et listes HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/conteneurs-listes-html/","","","DWB-T.122.114","0"
"4","T.121.144","Exercices sur les fonctions","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-fonctions/","","","DWB-T.121.144","0"
"4","T.121.164","Construire le tri par sélection","DWB-UA.121.16","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-tri-selection/","","","DWB-T.121.164","0"
"5","T.112.131","Observer les occurrences et repérer les répétitions","DWB-UA.112.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/observer-occurrences-reperer-repetitions/normal","","","DWB-T.112.131","0"
"5","T.121.155","Construire une solution avec plusieurs traitements","DWB-UA.121.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-solution-plusieurs-traitements/","","","DWB-T.121.155","0"
"5","T.122.115","Liens et chemins relatifs HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/liens-chemins-relatifs-html/","","","DWB-T.122.115","0"
"5","T.121.175","Construire et chaîner plusieurs traitements","DWB-UA.121.17","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-chainer-plusieurs-traitements/","","","DWB-T.121.175","0"
"5","T.121.165","Tester et adapter un algorithme de tri","DWB-UA.121.16","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/tester-adapter-algorithme-tri/","","","DWB-T.121.165","0"
"5","T.121.145","Transformer les algorithmes élémentaires en fonctions","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/transformer-algorithmes-fonctions/","","","DWB-T.121.145","0"
"5","T.122.215","Arrière-plans & Affichage","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/arriere-plans-affichage-css/","","","DWB-T.122.215","0"
"5","T.121.135","Construire des algorithmes élémentaires sur un tableau","DWB-UA.121.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-algorithmes-elementaires-tableau/","","","DWB-T.121.135","0"
"5","T.121.125","Exercices sur les boucles","DWB-UA.121.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercices-boucles/","","","DWB-T.121.125","0"
"5","T.121.115","Exercice : gérer un article","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/exercice-gerer-article/","","","DWB-T.121.115","0"
"6","T.112.132","Découvrir une entité à partir d'un identifiant ou d'une répétition","DWB-UA.112.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/decouvrir-entite-identifiant-repetition/normal","","","DWB-T.112.132","0"
"6","T.122.216","Liens & Listes","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/liens-listes-css/","","","DWB-T.122.216","0"
"6","T.121.136","Algorithme de synthèse : analyser une collection","DWB-UA.121.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/algorithme-synthese-analyser-collection/","","","DWB-T.121.136","0"
"6","T.121.156","Algorithme de synthèse : analyser une collection","DWB-UA.121.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/algorithme-synthese-analyser-collection/","","","DWB-T.121.156","0"
"6","T.121.126","Construire une pyramide d'étoiles","DWB-UA.121.12","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-pyramide-etoiles/","","","DWB-T.121.126","0"
"6","T.121.166","Algorithme de synthèse : trier une collection","DWB-UA.121.16","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/algorithme-synthese-trier-collection/","","","DWB-T.121.166","0"
"6","T.121.176","Algorithme de synthèse : construire un traitement complet","DWB-UA.121.17","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/algorithme-synthese-construire-traitement-complet/","","","DWB-T.121.176","0"
"6","T.121.116","Échanger deux variables","DWB-UA.121.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/echanger-deux-variables","","","DWB-T.121.116","0"
"6","T.122.116","Images et figures HTML","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/images-figures-html/","","","DWB-T.122.116","0"
"6","T.121.146","Combiner plusieurs fonctions","DWB-UA.121.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/combiner-plusieurs-fonctions/","","","DWB-T.121.146","0"
"7","T.122.217","Dimensions","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/dimensions-css/","","","DWB-T.122.217","0"
"7","T.112.133","Construire les entités à partir des données","DWB-UA.112.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-entites-donnees/normal","","","DWB-T.112.133","0"
"7","T.122.117","Tutoriel de Synthèse","DWB-UA.122.11","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/tutoriel-synthese/","","","DWB-T.122.117","0"
"8","T.112.134","Modéliser une liaison complexe avec un identifiant composé","DWB-UA.112.13","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/modeliser-liaison-identifiant-compose/normal","","","DWB-T.112.134","0"
"8","T.122.218","Espacements & Bordures","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/espacements-bordures/","","","DWB-T.122.218","0"
"8","T.112.141","Déterminer les relations et les cardinalités","DWB-UA.112.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/determiner-relations-cardinalites/normal","","","DWB-T.112.141","0"
"9","T.122.219","Affichage CSS","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/affichage-css/","","","DWB-T.122.219","0"
"9","T.112.142","Construire le MCD complet","DWB-UA.112.14","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/construire-mcd-complet/normal","","","DWB-T.112.142","0"
"10","T.122.21.10","Projet de Synthèse CSS","DWB-UA.122.21","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/tutoriel-synthese-css/","","","DWB-T.122.21.10","0"
"10","T.112.151","Transformer les entités en tables","DWB-UA.112.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/transformer-entites-tables/normal","","","DWB-T.112.151","0"
"11","T.112.152","Transformer les relations en clés étrangères","DWB-UA.112.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/transformer-relations-cles-etrangeres/normal","","","DWB-T.112.152","0"
"12","T.112.153","Transformer le MCD complet en MLD","DWB-UA.112.15","1","1","https://solicode-web-mobile.github.io/autoformations-web/tutos/transformer-mcd-complet-mld/normal","","","DWB-T.112.153","0"
